Den Burg,53.05,4.79
Den Helder,52.95,4.75
Denekamp,52.37,7.00
Deurne,51.46,5.79
Deventer,52.25,6.2
Didam,51.94,6.13
Diemen,52.33,4.97
Diever,52.85,6.31
Doesburg,52.01,6.13
Doetinchem,51.96,6.3
Dokkum,53.32,5.99
Domburg,51.56,3.50
Dongen,51.62,4.93
Doorn,52.03,5.34
Dordrecht,51.80,4.69
Drachten,53.11,6.09
Dronten,52.52,5.71
Druten,51.89,5.60
Duiven,51.94,6.02
Echt,51.11,5.87
Ede,52.03,5.67
Eemnes,52.25,5.26
Eersel,51.35,5.31
Eijsden,50.77,5.71
Eindhoven,51.45,5.46
Elburg,52.44,5.83
Elst,51.92,5.83
Emmeloord,52.70,5.75
Emmen,52.79,6.89
Enkhuizen,52.71,5.27
Enschede,52.21,6.89
Epe,52.34,5.98
Ermelo,52.29,5.63
Etten-Leur,51.57,4.66
Exloo,52.88,6.86
Ferwert,53.33,5.82
Franeker,53.18,5.54
Geffen,51.73,5.46
Geldermalsen,51.88,5.3
Geldrop,51.42,5.57
Gemert,51.55,5.67
Gendringen,51.87,6.37
Gennep,51.69,5.97
Gieten,53.00,6.76
Goes,51.50,3.89
Goirle,51.52,5.07
Goor,52.23,6.58
Gorinchem,51.82,4.97
Gouda,52.02,4.70
Grave,51.75,5.73
Groesbeek,51.77,5.94
Groningen,53.21,6.55
Grootegast,53.21,6.27
Grou,53.09,5.83
Gulpen,50.81,5.89
Haaksbergen,52.15,6.73
Haaren,51.60,5.22
Haarlem,52.36,4.65
Haarlemmerliede,52.38,4.68
Halfweg,52.38,4.75
Hardenberg,52.57,6.62
Harderwijk,52.35,5.63
Hardinxveld-Giessendam,51.82,4.85
Haren,53.17,6.63
Harlingen,53.17,5.43
Hasselt,52.59,6.09
Hattem,52.47,6.06
Hazerswoude-Rijndijk,52.12,4.59
Heemskerk,52.51,4.67
Heemstede,52.35,4.61
Heerde,52.38,6.03
Heerenveen,52.95,5.91
Heerhugowaard,52.66,4.82
Heerlen,50.88,5.96
Heesch,51.73,5.52
Heeze,51.38,5.57
Heiloo,52.60,4.68
Heinkenszand,51.47,3.81
Hellevoetsluis,51.82,4.13
Helmond,51.48,5.70
Hendrik-Ido-Ambacht,51.83,4.65
Hengelo,52.05,6.31
Hengelo,52.26,6.78
Heythuysen,51.25,5.89
Hillegom,52.29,4.59
Hilvarenbeek,51.48,5.13
Hilversum,52.23,5.17
Hoofddorp,52.31,4.69
Hoogerheide,51.42,4.33
Hoogeveen,52.72,6.48
Hoogezand,53.16,6.76
Hoogkarspel,52.69,5.17
Hoorn,52.64,5.06
Hoornaar,51.88,4.94
Horst,51.45,6.05
Houten,52.03,5.16
Huizen,52.30,5.25
Hulst,51.28,4.05
IJmuiden,52.45,4.60
IJsselstein,52.02,5.01
Joure,52.96,5.79
Kaatsheuvel,51.66,5.06
Kampen,52.55,5.89
Kapelle,51.64,3.96
Katwijk,52.19,4.40
Kerkdriel,51.77,5.33
Kerkrade,50.86,6.06
Kollum,53.27,6.15
Krimpen aan den IJssel,51.90,4.57
Kruiningen,51.45,4.03
Landgraaf,50.91,6.04
Landsmeer,52.43,4.91
Laren,52.24,5.23
Leek,53.16,6.37
Leens,53.36,6.38
Leerdam,51.89,5.09
Leeuwarden,53.20,5.80
Leiden,52.17,4.52
Leiderdorp,52.15,4.53
Leidschendam,52.08,4.39
Lekkerkerk,51.90,4.68
Lelystad,52.51,5.47
Lemmer,52.84,5.70
Leusden,52.13,5.46
Lichtenvoorde,51.98,6.56
Lisse,52.25,4.54
Lobith,51.86,6.11
Lochem,52.16,6.41
Lopik,51.97,4.94
Loppersum,53.33,6.74
Losser,52.26,7.00
Maarssen,52.14,5.04
Maasbracht,51.14,5.88
Maasdam,51.78,4.55
Maassluis,51.91,4.27
Maastricht,50.85,5.68
Made,51.67,4.79
Malden,51.78,5.85
Marum,53.15,6.26
Maurik,51.95,5.42
Meerkerk,51.91,4.99
Meerssen,50.88,5.75
Menaam,53.22,5.66
Meppel,52.7,6.2
Middelburg,51.50,3.61
Middelharnis,51.75,4.16
Middenbeemster,52.55,4.91
Mijdrecht,52.20,4.87
Mill,51.68,5.78
Millingen aan de Rijn,51.86,6.04
Monnickendam,52.45,5.03
Montfoort,52.04,4.95
Mook,51.74,5.88
Muiden,52.32,5.07
Muntendam,53.13,6.86
Naaldwijk,51.99,4.22
Naarden,52.29,5.14
Nederweert,51.28,5.74
Neerijnen,51.83,5.27
Nieuw-Loosdrecht,52.20,5.13
Nieuwegein,52.01,5.10
Nieuwerkerk aan den IJssel,51.98,4.61
Nieuwveen,52.20,4.75
Nijkerk,52.22,5.49
Nijmegen,51.83,5.86
Nijverdal,52.35,6.48
Noordwijk,52.24,4.45
Noordwijkerhout,52.26,4.48
Nuenen,51.46,5.57
Numansdorp,51.73,4.44
Nunspeet,52.38,5.79
Nuth,50.91,5.88
Odijk,52.05,5.23
Oegstgeest,52.17,4.45
Oirschot,51.50,5.30
Oisterwijk,51.58,5.20
Oldebroek,52.44,5.90
Oldenzaal,52.31,6.92
Ommen,52.52,6.42
Oost-Vlieland,53.29,5.06
Oostburg,51.32,3.50
Oosterbeek,51.98,5.85
Oosterhout,51.65,4.88
Oosterwolde,52.98,6.29
Oosthuizen,52.57,4.99
Oostzaan,52.44,4.87
Opheusden,51.93,5.63
Opmeer,52.70,4.93
Oss,51.76,5.53
Oud-Beijerland,51.81,4.41
Oude Pekela,53.10,7.01
Oudenbosch,51.58,4.52
Ouderkerk aan de Amstel,52.29,4.91
Ouderkerk aan den IJssel,51.93,4.63
Oudewater,52.02,4.86
Overveen,52.39,4.60
Panningen,51.32,5.98
Papendrecht,51.83,4.69
Piershil,51.79,4.31
Pijnacker,52.01,4.41
Poortugaal,51.85,4.39
Purmerend,52.50,4.96
Putten,52.26,5.61
Raalte,52.38,6.28
Raamsdonksveer,51.69,4.87
Renswoude,52.07,5.54
Reusel,51.36,5.16
Reuver,51.28,6.07
Rhenen,51.96,5.57
Ridderkerk,51.87,4.61
Rijen,51.59,4.91
Rijssen,52.30,6.51
Rijswijk,52.02,4.31
Rockanje,51.87,4.06
Roden,53.13,6.42
Roelofarendsveen,52.20,4.63
Roermond,51.19,5.98
Roosendaal,51.53,4.49
Rotterdam,51.91,4.5
Rozendaal,52.00,5.96
Rucphen,51.53,4.55
’s-Hertogenbosch,51.70,5.30
Sassenheim,52.22,4.52
Schagen,52.78,4.80
Scherpenzeel,52.08,5.51
Schiedam,51.93,4.39
Schiermonnikoog,53.48,6.15
Schijndel,51.62,5.44
Schinnen,50.94,5.89
Schinveld,50.96,5.98
Schipluiden,51.97,4.31
Schoonhoven,51.94,4.84
Sellingen,52.94,7.15
Simpelveld,50.83,5.97
Sint Annaparochie,53.27,5.65
Sint Anthonis,51.62,5.88
Sint Odiliënberg,51.14,6.00
Sint-Michielsgestel,51.64,5.35
Sint-Oedenrode,51.56,5.45
Sittard,50.99,5.87
Sliedrecht,51.82,4.77
Slochteren,53.21,6.81
Sneek,53.03,5.66
Soest,52.18,5.30
Someren,51.38,5.71
Son en Breugel,51.51,5.5
Spijkenisse,51.84,4.31
Stadskanaal,53.00,6.92
Staphorst,52.64,6.21
Steenbergen,51.58,4.32
Steenwijk,52.78,6.13
Stein,50.96,5.76
Stiens,53.25,5.76
Stolwijk,51.97,4.77
Stompetoren,52.61,4.82
Strijen,51.74,4.55
Ten Boer,53.27,6.68
Terneuzen,51.33,3.84
The Hague,52.08,4.3
Tholen,51.53,4.21
Tiel,51.88,5.44
Tilburg,51.57,5.10
Tubbergen,52.40,6.78
Twello,52.23,6.10
Uden,51.66,5.62
Uitgeest,52.53,4.70
Uithoorn,52.24,4.84
Uithuizen,53.40,6.67
Urk,52.66,5.59
Utrecht,52.09,5.11
Vaals,50.76,5.99
Valkenburg,50.86,5.82
Valkenswaard,51.35,5.45
Veendam,53.11,6.89
Veenendaal,52.02,5.55
Veghel,51.61,5.55
Veldhoven,51.41,5.41
Venlo,51.37,6.17
Venray,51.52,5.97
Vianen,51.98,5.09
Vlaardingen,51.92,4.32
Vlijmen,51.69,5.22
Vlissingen,51.44,3.57
Voerendaal,50.87,5.93
Volendam,52.49,5.07
Voorschoten,52.13,4.46
Vries,53.07,6.57
Vriezenveen,52.41,6.62
Vught,51.65,5.29
Waalre,51.39,5.43
Waalwijk,51.68,5.07
Waddinxveen,52.04,4.65
Wageningen,51.97,5.66
Wassenaar,52.11,4.35
Wedde,53.06,7.07
Weert,51.25,5.71
Weesp,52.30,5.03
Werkendam,51.80,4.89
West-Terschelling,53.36,5.21
Westervoort,51.96,5.97
Wierden,52.36,6.59
Wijchen,51.81,5.74
Wijhe,52.38,6.13
Wijk bij Duurstede,51.97,5.34
Wijk en Aalburg,51.75,5.13
Winschoten,53.14,7.03
Winsum,53.32,6.53
Winterswijk,51.97,6.71
Wissenkerke,51.58,3.74
Woerden,52.09,4.90
Wognum,52.67,5.02
Wolvega,52.87,5.99
Wommels,53.10,5.59
Wormer,52.50,4.82
Woudenberg,52.08,5.42
Woudrichem,51.81,4.99
Zaandam,52.43,4.81
Zaltbommel,51.80,5.24
Zandvoort,52.37,4.52
Zeeland,51.69,5.67
Zeewolde,52.33,5.53
Zeist,52.09,5.24
Zevenaar,51.92,6.09
Zevenbergen,51.64,4.59
Zierikzee,51.65,3.91
Zoetermeer,52.05,4.49
Zoeterwoude,52.12,4.49
Zuid-Scharwoude,52.68,4.80
Zuidhorn,53.25,6.40
Zuidwolde,52.67,6.42
Zundert,51.46,4.65
Zutphen,52.14,6.20
Zwijndrecht,51.81,4.61
Zwolle,52.50,6.08
